Serial No.,College Name,Rating,Pros,Cons
616,Marthandam College of Engineering and Technology - [MACET],4.0,"The faculty and student ratio is 1:10. The facultys qualifications are good teaching ability. | I did not receive any stipends, but they provided a better opportunity to work with different companies, giving me different experiences. | The faculty and student ratio is 1:10. The facultys qualifications are good teaching ability.",Some times the canteen food are not good | They ask more money for lab and sports in our college
617,PA College of Engineering - [PACE],3.8,"Its very good that the college conducts an exhibition every semester to discover the talents and skills that the students have, and they also conduct research with them. | Placements are good with reputable companies, and job opportunities are even better. There are scholarships available for minorities and backward students to support their education. Internships are provided for each branch. | Its very good that the college conducts an exhibition every semester to discover the talents and skills that the students have, and they also conduct research with them.","In our college, no campus will come. Our college will not call any company. If we want the job, then we can go to another college and attend the interview. Our college is not good for campus reasons. | Yeah, there is a loan named Arivu loan for students who are unable to pay the fees on time."
618,Rajagiri School of Engineering & Technology - [RSET],4.0,"They always provided the teaching in more practical ways, which helps us find a way to implement it in real-life applications. | You can undertake an ongoing project and work with professors, which is a great platform for undergraduate graduates. | They always provided the teaching in more practical ways, which helps us find a way to implement it in real-life applications.","The course curriculum was so stupid that I had to learn outdated techniques, and I was unable to learn modern technology. | There arent many students studying here on scholarship, so information about it is not available."
619,Sahrdaya College of Engineering - [SCE] Kodakara,3.7,"They can help us from any dimension. The facilities are excellent in knowledge in both theory and practical dimensions. The majority of teachers have obtained a PhD from well-known universities. | For the internship, we had our own company, Sahrdayatech, where we could do our internship. | They can help us from any dimension. The facilities are excellent in knowledge in both theory and practical dimensions. The majority of teachers have obtained a PhD from well-known universities.","The course curriculum was limited to books, and the degree of practical knowledge gained was very low. | The campus placement was not up to the mark for M.Tech students, but there are a few companies accommodating them for B.Tech students"
620,Sanjivani College of Engineering,4.0,"These courses provide the best placement in this college, and mechanical engineering has a growing demand nowadays. | The college TPO (Training & Placement Cell) provides us with a placement program for internships in many companies, such as Innobite and Gozoop, etc. | These courses provide the best placement in this college, and mechanical engineering has a growing demand nowadays.","We faced a lot of difficulties in getting jobs due to a lack of internships. | Target students who are interested in computer science and IT, while other students from different branches may struggle."
621,Saroj Mohan Institute of Technology - [SMIT],3.8,"The course is very good and well executed. This course gives us a good opportunity and career. Exams are divided into six semesters. | Bst in one word, its best. It is a Techno India college, but still, so many got job offers before the exam. The best job does not need to worry, so I think that it is the best. | The course is very good and well executed. This course gives us a good opportunity and career. Exams are divided into six semesters.","Course, the curriculum is standard, but there is a lack of professionalism, insufficient space, and a very small campus. Additionally, the lab and workshops lack necessary equipment, making it the worst college. | The market at that time is a little bit down, so I didnt get placed from my college."
622,Seemanta Engineering College,3.9,In our college as i am in first year whenever i got any doubt i resolve with asking teachers ans they also help if they know about it | In our college there is rule of 75% attendance but if you have some issue then you can submit application to Hod and ask for leave even your 75% attendance is not there and you have some really issues they will allow to give you exam | I like the lectures in college,The first thing i disliked is you will get some language problem here for sure but after 1 months you can adjust here | Second problem is here the market is away from college so if you want to go to market you have to go 5-6 km nearby bombay chauk
623,Sengunthar Engineering College,4.2,"They focus on providing quality education. Their main goal is to ensure that the education is tailored specifically to the students, so that we can receive the best education and acquire all the necessary knowledge for our course. | AI-related projects are done by CSE and IT students. Solar machines are done by ECE and EEE students, and the outcomes are really awesome. Some mistakes are corrected by our faculties. | They focus on providing quality education. Their main goal is to ensure that the education is tailored specifically to the students, so that we can receive the best education and acquire all the necessary knowledge for our course.",I dislike the habits of some students which they stole something from us | Some times power issue may happen during class time
624,Shivani Engineering College - [SEC],3.8,College campus is so wider range of students. | Location of the campus is so greenary to see .,In Library some systems are not working good. | In library only subject vies books are available.
625,Sri Venkateshwara College of Engineering - [SVCE],3.6,"The course curriculum is good, and exams were held on time in our college. The course curriculum is up-to-date, and exams are held through semesters. We have 8 semesters in 4 years, and exams are done fairly. | To be very frank and honest, I didnt get any stipend, but the internship experience was awesome. | The course curriculum is good, and exams were held on time in our college. The course curriculum is up-to-date, and exams are held through semesters. We have 8 semesters in 4 years, and exams are done fairly.","Choosing any course is difficult, and the exams follow the unfortunate rule of VTU University, which is very bad. | The placement in this college was very poor, mainly due to the inadequate performance of the placement officer. The college management should take responsibility for this. It was truly a terrible experience regarding the placement activities at SVCE."
626,Swami Vivekananda Institute of Technology - [SVIT],3.4,"I chose ECE because it is a very good course and has a lot of scope in it! | At the time of campus selection, they come to the college, interview every student, and select the best one. | I chose ECE because it is a very good course and has a lot of scope in it!","My internship experience at my college was very poor because only a few colleges are providing internships. | Life on campus is very boring. There are no cultural activities, tech fests, etc. We are always forced to study, and there are no sports"
627,TKR College of Engineering and Technology - [TKRCET],3.8,I liked the library and the food court and the ground because the ground was maintained very good | I like this location where this college is and it is quite spacious college with good mantainence | I liked the library and the food court and the ground because the ground was maintained very good,Some of the students have bad habits not over reacting from the college | Some of the faculty are not good with their content in lectures.
628,Trinity College of Engineering,3.8,The ambience is too good for the college it was on the hill top where fresh ais breeze and getting good rain and sunlight overall better | They teach us just like how schools are doing they were strict as well as friendly | Good environment surrounded with trees and fresh air,They doesn't organise programs accuratly and funds are put down by the students not by the management | And they have sports quota also which they doesn't use at that level in which they should be used
629,APS College of Engineering - [APS],3.2,It is a wonderful course in it sector and i was pre-planned for higher studies and this course will make my walk on a flower. | Yes our college provide good internship and have a good contact between the companies.the companies are cane forward and choose good students from our college and interview the selected candidates and give them job | It is a wonderful course in it sector and i was pre-planned for higher studies and this course will make my walk on a flower.,Placements are hard to come by as the companies that come are either startups or mid level companies. | They don't have single rooms it would be shared by at least 2 people and almost 4 people in a room.
630,College of Engineering - [COER],4.0,Some of the faculties are too much good that I couldn't | They have good knowledge and most importantly they provide you with the best lectures. | Some of the faculties are too much good that I couldn't,"Hostel are like prison cell , small room , dirty water supply. | The mess food and the laundry we are not satisfied that.."
631,Park College of Engineering and Technology - [PCET],3.5,"Improving your study skills can be the great educational equalizer. Effective studying is the one element guaranteed to produce good grades in school. | Social connections grow: When students are involved in cocurricular activities, they usually interact with others, which means meeting new people, developing | Coaching of the school is good, you can experience it",no cons found
632,"University Institute of Information Technology, Himachal Pradesh University - [UIIT]",3.6,Campus Life is really NYC as we are in an open environment to study. | We have technical groups and various fest organised in the college | Faculty of the college is very helpful . All the faculty members are very well qualified and always looking forward to help students in any possible way,Campus is small and even building is not that large. | As compared to fees utilities are really limited
633,GD Goenka University - [GDGU],3.9,"The course curriculum was excellent. I had an amazing time studying in the college. The teachers are so friendly, understanding, and helpful. Also, the curriculum is divided excellently. | Companies like HCL and Microsoft provide good opportunities to students with positions such as HR, assistant manager, and full-time employee. | The course curriculum was excellent. I had an amazing time studying in the college. The teachers are so friendly, understanding, and helpful. Also, the curriculum is divided excellently.","No, I have not opted for any other facilities. I tried for an education loan, but for some reason, it was not approved. | The only negative point I feel is the fee structure, as it is a little expensive to afford."
634,NIILM University,4.1,no pros found,no cons found
635,IEC University Baddi - [ICEU],4.0,Hostel of my university and rooms of my hostel | My department of physiotherapy was good. | Overall I have great experience out there the faculty and study experience everything was outstanding so I will recommend everyone to go there.,I don't like the color of my university. | I don't like the dinner of my mess at night
636,ITM (SLS) Baroda University,4.0,Facilities are very good they solve the problems of students very nicely | Faculty members are very supportive and their teaching skills are very excellent | Facilities are very good they solve the problems of students very nicely,"As such, there is nothing to say say bad about it. | No things to be disliked because after all everything depend on how one grabs it...the social life nd knowlegde"
637,ISL Engineering College - [ISLEC],4.0,The faculty and managemnt is supportive and helpful | Ambience is full of greenery provided with labs | The campus is nice and beautiful and the environment is good but can improve quiet a bit in building the outdoor sports complex,The way management informs mostly at the end times | They dont encourage sports in the way they should
638,Trident Academy of Technology,4.0,Perfect guidance there by the teacher and they will provide perfect motivation | In four year I was studied every faculty I got was very good in teaching | Perfect guidance there by the teacher and they will provide perfect motivation,Hostel food quality is very bad and hostel room is not cleaned. | Campus life is bore and very bad so i don't like it
639,Maulana Azad University,4.0,"We are often given assignments and have to make presentations on the topic, which helps us understand the topic better. The course curriculum is well-designed and covers all the topics. The lectures are very interesting. | There are no search placements or job opportunities at all, but they provide you with amazing quality education so that you can find opportunities based on your capability. The college experience is just amazing. | We are often given assignments and have to make presentations on the topic, which helps us understand the topic better. The course curriculum is well-designed and covers all the topics. The lectures are very interesting.","Very few people register at the University, because only minority communities such as Muslims, Sikhs, Parsis, Buddhists, Christians, and Jains come to my college"
640,Himalayan University - [HU],3.8,We have a special bond with our faculties | We sincerely to our respected teacher we love them | Well enough for good education. Has it's own botanical garden.,There is no any hostel in college campaign | College is big but room that not much decorated
641,People's University,3.3,"They have provided students a very good platform for clinical practices as well besides best theory lectures we are always more encouraged to do the practices. | Placement facility best i must say so many companies takes place and their names are:- trivium education services, norton antivirus pvt. | They have provided students a very good platform for clinical practices as well besides best theory lectures we are always more encouraged to do the practices.","It’s a lot harder to find a study group, despite there being a lot more people. Small classes you’re kind of stuck together, but in big classes it’s pretty nonchalant interactions. Your professor won’t remember you, neither will your TA, or most of t | peer group is ok ok here but with time everything is good"
642,Amrita School of Engineering - [ASE],3.8,"The placements are very good with the highest offer being 50-60 lpa | The campus life is the best, there are lots of clubs | Getting to meet students and professors from various diverse places of the country and getting more social exposure. Making some really good friends and bonds with people over the 4 year duration. So many people of similar interests to interact with.","Ordering food to the college is not allowed | Nonveg food is not allowed in college, you can be fined"
643,Ganga Group of Institutions - [GGI],3.9,Behaviour of teacher and the way they teach us | I like the fest infrastructure and the area of my college | It is NAAC A college to Maharishi Dayanand University graded Students from outside of india also come here for technical amd management course,I don't like the behaviour of student yes | On the other hand with travelling time I don't like because college is too far from my house
644,RajaRajeswari College of Engineering - [RRCE],3.4,The faculty members are great and helpful at all times; they are like your agony aunt who will solve all your problems and guide you for your betterment. | Many courses are provided at Rajarajeswari College of Engineering. All types of practical laboratories are provided for students. | The faculty members are great and helpful at all times; they are like your agony aunt who will solve all your problems and guide you for your betterment.,"It is conducted by a teacher who asks for money to do an internship, but there is no internship certification available. | Some fake companies were coming into the college that were not verified by the college."
645,Sri Manakula Vinayagar Engineering College - [SVMEC],3.9,"The course I have selected is electronic and communication. The faculty teaching is very good, and the student ratio for each class is acceptable. | The college does not provide any internships to the students; it offers the best in-plant training for the top-performing students in my college. | The course I have selected is electronic and communication. The faculty teaching is very good, and the student ratio for each class is acceptable.","Colleges offer scholarship opportunities to students because they are very, very poor. They are indeed poor, so colleges provide educational opportunities for these students. | Ya, hostel facilities are there. The hostel fee is about 60000. There will be a 5,000 caution deposit. Mess food facilities are there. But frankly, the food was not good and not hygienic. I dont know how they provide such low-quality food"
646,International Institute of Technology and Management - [IITM],3.0,The first thing is that the college is near my home. | Everyone can travel easily and there is no danger while come to college as it is near road. | I actually like that my college is ragging free.,"As i say , i didn't get the point to say about it's disqualification | The building of the college is very old."
647,Shobhit University,3.5,"College had a good infrastructure, good staff | Campus life is good i love my college love this area | This University is best for the study and teachers have very good teaching skills. They are",College situated is far from city college is situated in rural area
648,Maharishi University of Information Technology - [MUIT],3.8,"My faculties are very good and always help students at Maharishi University of Information Technology, Lucknow. | This college has a great reputation in placement as they maintain a special department that trains students for placements. | My faculties are very good and always help students at Maharishi University of Information Technology, Lucknow.",The library is not big; it is small enough to have some types of books
649,Vidya Knowledge Park - [VKP],4.0,"The facility of our college is very porche | The campus was quite good as compare to other collages | The infrastructure and greenery was really good. Play grounds, running track and a sports building. There were respective charges for availing any sports facility like gym, swimming etc.",Security gaurds of our college is not so good | We have to go to our classes we have to go to our classes on foot without vehicle
650,Jaypee University Anoopshahr,4.3,"The course curriculum here is one of the best-designed and well-researched courses. | Internship depends on the 3rd year and skills in our college; many companies, like Sharekhan, offer internships. | The course curriculum here is one of the best-designed and well-researched courses.","There are a few seminars and conferences conducted during the semester, but the college does not pay much attention to various extracurricular activities"
651,St.Joseph University,4.1,"I like to travel ,sing and love to explore | I love spending time with my family n loved ones | Campus Life is good and it's environmental friendly we get engaged in activities like sports functions and internship",I hate being in the social group and enjoying | I hate people with selfish minded and people that take advantage
652,Rishihood University,4.2,Campus was so good and so clean also. it was just amazing. | Faculty was also so good and highly educated.,I dont like the teaching method of the college
653,Sarala Birla University - [SBU],4.0,Some of the best faculties which provides quality education to students | It is one of the best college in Ranchi according to this criteria. | Some of the best faculties which provides quality education to students,Here my college is very expensive and steps are not supportive | College staff behave very rudely they do not have in any thing doubt
654,Radha Govind University - [RGU],4.2,"Faculty is very nice and well behaved and experienced. | Classroom are well big, clean and proper desks are available. | Friendly nature of every faculty.regular events and career counseling",Mess food is just horrible to eat and no good food menu. | Wifi connection in hostel is very poor.its hard to study online
655,Kavikulguru Institute of Technology and Science - [KITS],3.7,"The course structure is good and very time-bound. This will be enough time to complete one semester. | We had an industrial tour to Bangalore to visit the IT companies, and it was a nice experience that I will cherish in my life forever. | The course structure is good and very time-bound. This will be enough time to complete one semester.","The exam pattern was changed from a yearly pattern to a semester pattern in 2012, but the curriculum is still outdated. | Colleges do not provide any internships, but there is a provision that requires completing an internship for at least 15 days after the end of every even semester. For this reason, everyone has to find a firm that will provide them with an internship."
656,Stanley College of Engineering and Technology for Women - [SCETW],4.1,"Most liked things by me are the kindness of CSE staff and their perseverent nature towards students | The second most thing is seminars that are very helpful and enlightening | College faculty, placements and security measures are appreciable.",Quite less hygienic but otherwise its all good
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,3.6,Computer science is best course here because we have all the required labs | The college management is very good they will encourage the students | Computer science is best course here because we have all the required labs,There not many but I don't like maintenance of the washrooms | We have to follow the Rules and regulations I agree but here some people themselves put some extra rules and regulations and they argue and order people around to follow those.And it's irritating.
658,Anand Engineering College - [AEC],3.8,Classes is very good and ac is also provided by the college. | Canteen is awesome and the snacks and food is very good there a huge sitting space. | Classes is very good and ac is also provided by the college.,Exam process is very bad and pressure is created by the college. | Mess food is very bad and workers not care about hygiene
659,Andhra Loyola Institute of Engineering - [ALIET],3.8,"My faculty is very good, and their qualifications are M.Tech graduates, and some of them have completed their post-graduate studies in their respective subjects. | My college provides APSSDC internship programs, outdoor programs, internships in college labs, online internships, and skill orientation internships. So we are trained to be the best in our talent. | My faculty is very good, and their qualifications are M.Tech graduates, and some of them have completed their post-graduate studies in their respective subjects.","The exam structure is very poor in btech, especially in JNTU the system is the worst, they correct papers blindly. | Also, there wont be support from the director to bring companies to the college."
660,Baba Banda Singh Bahadur Engineering College - [BBSBEC],4.1,"The college is well equipped with one of the best facilities and best labs a college can have. | The internship was good. The College T&P cell was evolving at that time, so I had to arrange it on my own. The major internship was also arranged by the students themselves. | The college is well equipped with one of the best facilities and best labs a college can have.","All are dumb teachers with no professional experience. What can you expect from a college in Punjab? | The infrastructure is really bad. The washrooms are really bad and dirty, and their doors are so old that we have to put in a lot of effort to close them and all our strength to get out. Additionally, the room size is really small"
661,Bangalore College of Engineering and Technology-[BCET],4.0,no pros found,no cons found
662,Bankura Unnayani Institute of Engineering - [BUIE],3.6,"I chose this course because my father and relatives worked in the PWD, so I have the best opportunity to apply for this job. | Since it is my TY, many companies are coming for internship. Many have gone, but many are still to come. | I chose this course because my father and relatives worked in the PWD, so I have the best opportunity to apply for this job.","TCS visited our campus, but due to the misguidance of college management, they cancelled the agreement. | The study was not up to the mark in our college; therefore, no placement is provided, neither software nor core. Our course duration is 4 years, comprising of 8 semesters"
663,Chadalawada Ramanamma Engineering College - [CREC],3.5,The college environment and class room are really good to seat and concentrate on class what there are teaching. | Sports and cultural fests conducted in college . | College environment is great! Nothing fancy but every basic thing is available!!,Not provide internship from college we have to search by our one compare to other colleges | Faculty are not much qualified to handle the subject
664,Chettinad College of Engineering and Technology - [CCET],4.2,There students may were only uniform .. that is the appreciated thing .. | There having clubs for students social involvements | This college has low fees structure and well teaching,The infrastructure of the college that is the main thing to impress .. | The management never giving holidays in saturdays
665,"College of Engineering And Management, Kolaghat",4.1,College ground as well as college building are also very good. | The faculty is very good they taught us in easiest way | College ground as well as college building are also very good.,If you are a non hosteller then this college is boring for you basically for me. | I don't like college seniors because they have very bad behavior.
666,DAV Institute of Engineering and Technology - [DAVIET],3.6,You get to learn from a faculty that is very experienced and well versed in the course. | A very excellent stipend is given to students who secure the best position among Punjab or India students. Opportunities for scholarships are also provided to these students. This college grants a stipend ranging from Rs 5000 to 10000 to every student who achieves the first position. | You get to learn from a faculty that is very experienced and well versed in the course.,"Until I was there in the 2012 internship was not an option, but I am not sure about the current offerings. | The placement for the MBA department is very poor, as people usually prefer to directly approach companies for job opportunities. However, the situation is better for the Engineering department."
667,Dhanalakshmi Srinivasan Engineering College - [DSEC],3.7,"My College name is Dhanalakshmi Srinivasan engineering college autonomous Perambalur tamilnadu | I am going to say about the my college this college infrastructure is to good. | I like the laboratory facilities, the department of CSE labs are well equipped with high tech computers",I am not happy with study teachers doesn't have good experience | And we are also not happy with management
668,Ellenki College of Engineering and Technology - [ECET],3.7,"My choice towards CSE - Data science is the total updating of technology and its demand throughout the future. The faculty over the case is full of knowledge and their behavior with students is impeccable treatment. | They allow permission for internships, allowing students to participate in an internship. This allows them to take a grand leave for particular days, ensuring that they do not lose their attendance during the internship. | My choice towards CSE - Data science is the total updating of technology and its demand throughout the future. The faculty over the case is full of knowledge and their behavior with students is impeccable treatment.",I dont recommend this college if you want to get placed in campus placements
669,GKM College of Engineering and Technology - [GKMCET],3.3,Experienced faculty with prior working experience on the subjects | Canteen and food which is given in affordable price,no cons found
670,G L Bajaj Institute of Technology and Management,3.9,The campus atmosphere is very awesome .There is a ground for playing football and cricket. | One of the best thing is there is no ragging in this college | The campus atmosphere is very awesome .There is a ground for playing football and cricket.,At the time of admission there was a lot of comossion in the college we had a really bad experience | Management here is somewhat bad in some aspects and the rooms don't have ac
671,Karpagam Institute of Technology,3.8,"the campus and infrastructure of college is good | the quality of teaching and mentorship is good | Vibrant campus with well equipped labs, smart class rooms and we'll maintained buildings",The quality of hostel food is above average | the rules and regulations of hostel is bad
672,Kongunadu College of Engineering and Technology - [KNCET],4.2,I like this college atmosphere | Good discipline staff friendly behaviour. | chairman and hod sir support all student and faculty,Campus entrance look good but very big
673,MBM Engineering College - [MBM],3.8,"College life here is the best thing you can get as it has lot of freedom. | Very good, the college was among the best government colleges in Rajasthan and had the highest number of students. | College life here is the best thing you can get as it has lot of freedom.",Infrastructure is very poor because it is one of the oldest college . | Campus have not a good rod connect department and not good gardening there that is bad things are in college
674,Mookambigai College of Engineering,4.1,Biggest college with a very good infrastructure. | Hostel facility was good. Canteen and mess served a variety of food. | Infrastructure will be amazing to my college and save trees and flowers,Many sports events were conducted and it conducted should be every month | Well equipped library and also need more books.
675,Ponjesly College of Engineering - [PCE],3.1,Teaching is the best thing among the college staffs and they are very friendly and usefull for our carrier guidenes | They want to need to improve the providing of more placements | Environment where the college is scenic during monsoon,no cons found
676,Rajadhani Institute of Engineering and Technology - [RIET] Attinga,4.0,It's a vast college and it has a nice natural beauty. | Class systems as well as college surroundings are good. | College standards including discipline was well maintained,Staff in the account section are not good as they don't give correct explanation to our questions. | We cannot vaccate from hostel or bus as we want they focus on money.
677,Ramachandra College of Engineering - [RCE],3.8,"My time at the college was characterized by a dynamic and engaging campus life, coupled with a few areas needing improvement. The vibrant atmosphere was fostered by numerous clubs, cultural events, sports competetions, and technical fests made well. | The faculty at rce were highly qualified and brought a wealth of knowledge and industry experience to the classroom, effectively blending theoritical and practical approaches in their teachings. | Good infrastructure in my college as compared to other colleges","There are very less things which i disliked, one of them is the placements which were not upto the mark other than that everything else was fine. | Other things include campus facilities are not upto the mark as looking at the current fee structure"
678,Roorkee Institute of Technology - [RIT],4.3,Thos is the best college of Roorkee and placement is really nice. | Enivironment is good for placement and peace nature which help to concentrate on study | Thos is the best college of Roorkee and placement is really nice.,The worst thing here is the hostel facility but a person can live here . | Campus of this college is very small and locality is also not good.
679,SCMS School of Engineering and Technology [SSET],3.5,"The best curriculum you can get is here, so you dont need to worry about anything with the best faculty present. | College internship with TVS; the stipend is more than 10,000rs and there are also many other companies offering good stipends. | The best curriculum you can get is here, so you dont need to worry about anything with the best faculty present.","The university gives a lot of pressure, and there is a delay in conducting and publishing the results. | The placement was less for mechanical and automobile branches, but there were vast opportunities for the IT field. We have to try outside ourselves for the job."
680,SIES Graduate School of Technology - [SIES-GST],4.0,"Many teachers have done a PhD in their subjects, and their teaching method is really good. There are two unit tests in one semester, followed by finals. | Many internship programs are organized with durations of 6 months, providing good experience and a handsome salary. However, not everyone gets a chance for an internship. | Many teachers have done a PhD in their subjects, and their teaching method is really good. There are two unit tests in one semester, followed by finals.",no cons found
681,SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala,3.7,"The faculty of this college is very awesome; each and every concept is cleared by them. | The placement is good for computer engineering students. Companies such as Mahindra, Infosys, and Microsoft have placed the students for jobs. | The faculty of this college is very awesome; each and every concept is cleared by them.","Also, at the time the college lacked the infrastructure to provide the required equipment for the suggested practicals. | Getting permission to attend internships and training would be difficult, as the staff here has a weird obsession with attendance."
682,Sapthagiri NPS University,3.6,"I will not lie; here, it is not so good in terms of course curriculum. | The college offered internships at Hal, TCS, Toyota, etc. Students were not given a stipend, but they were provided with valuable industrial experience. | I will not lie; here, it is not so good in terms of course curriculum.","I have seen plenty of cases where there is a reduction in college fees for economically backward class. | The college was recently started and was not popular, which made it difficult to attract companies for campus selection."
683,Saroj Institute of Technology and Management - [SITM],2.9,"Good library and cafeteria for relaxing and also fully furnished classrooms | College are near city Mall, hospital, shopping complex and medical service are near so students not faces any issue",Faculties was not enough for students also single teacher handle multiple branches | College management was very bad students faces many problems also hostel management was very bad low quality food
684,Sasurie College of Engineering - [SCE],3.5,"i like collage Infrastructure and campouse | i like my collage is near to me, walkable distance. | College campus is good",College hostel food is very bad experience | Sometimes they dont understand what students want
685,Selvam College of Technology - [SCT],4.1,I would like department faculty and staffs | I would like College infrastructure and campus | Big ground at the campus for fully loaded sports equipment.,no cons found
686,Shivalik College of Engineering - [SCE],3.8,The college has created the perfect curriculum for the course to provide students with the ideal blend of theory and practicals. | The internship was the best opportunity for me because it provided me with a place where I could learn from the best people. | The college has created the perfect curriculum for the course to provide students with the ideal blend of theory and practicals.,The college classroom are not decent enough these are need to maintain a bit.
687,Silver Oak College of Engineering and Technology - [SOCET],3.8,College is best for the engineering students because of the teachers and labs. | In that college arrange best function and students are participate in that. | College is best for the engineering students because of the teachers and labs.,Water is a big problem in rains parking is badly flooded | Very messy noisy and dusty as campus in under renovation from a Year now
688,Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon,3.8,Hostel of the college is also good in terms of accomodation | Loved the weather at the city it's very charming and calm | Hostel of the college is also good in terms of accomodation,Behaviour of students over the campus is not good some bullies are there | Hostel mess is not good in terms of taste as well as quality
689,Sree Buddha College of Engineering Pattoor - [SBCE],3.2,The facilities like labs were upto the standard | They used to consider students opinion when it comes to exams | The college has a supportive and knowledgeable faculty who guide students well and help them grow.,First year was so strict like it would feel hectic | In first year they used to keep extra classes to finish portions
690,Sree Narayana Gurukulam College of Engineering - [SNGCE],3.9,"The course curriculum is modified every year to align with the changes happening in the core industry. The faculties are given thorough training to provide excellent guidance, enabling us to secure our dream job in our dream company. | The college promotes doing internships and even takes the students to experience site execution as well as visiting many sites. | The course curriculum is modified every year to align with the changes happening in the core industry. The faculties are given thorough training to provide excellent guidance, enabling us to secure our dream job in our dream company.","The percentage of students getting placement is less than 15%, which is a disappointing aspect of the college"
691,Sree Sastha Institute of Engineering and Technology,3.6,"We had a very good staff for theory and well-experienced professionals for practicals, so we learned a lot and were molded as perfect engineers. | Yes, they offered us an internship opportunity at Wise Tech Solutions, located in Ekattuthangal. | We had a very good staff for theory and well-experienced professionals for practicals, so we learned a lot and were molded as perfect engineers.","I(we) didnt have any opportunities during our span, as they were not able to afford the budget, horrible isnt. | I have not applied for any loans or scholarships because I was busy and I dont want to apply for scholarships. It may help someone else in need, so I was not interested in that"
692,Sri Siddhartha Institute of Technology - [SSIT],4.0,"The course curriculum is very nice. There will be two internals, 1 midterm, and one end term with a 1-month gap. | The internship was good. They used to give projects to work on, tasks to do, and also provided some entertainment. However, there was no stipend offered. | The course curriculum is very nice. There will be two internals, 1 midterm, and one end term with a 1-month gap.",We are very sad to say that the placement experience in our batch was the worst due to bounding
693,Tamilnadu College of Engineering - [TNCE],3.2,Infrastructure and fees affordable for all middle class people | Freedom for all students to improve ourselves | I like the library in my college.,Not conducting internship programme at that time | Student suggest not hearing management is biggest problem
694,Thangavelu Engineering College,2.9,Best coaching in college and smart class | They take care for each and one students.,no cons found
695,Hyderabad Institute of Technology and Management - [HITAM],3.9,"HITAM TOASTMASTERS CLUB, this stood as the best club for almost 3 years in line. | It was very wonderful and if i have kids I would like them to study here | HITAM TOASTMASTERS CLUB, this stood as the best club for almost 3 years in line.","Raging ppl who forced to do, fight with them by orel aor with the help of faculty's | The food in the canteen is somewhat not nice as per my taste"
696,Vemu Institute of Technology - [VEMU],4.0,My course in this college is excellent with lot of lab equipments.exam structure is our college is a self center.but exams will be conducted very strictly.there will be monitoring two invisilators for every room during exams | The placements also should conducted in the campus and all are much good companies what they are bring to the college. | My course in this college is excellent with lot of lab equipments.exam structure is our college is a self center.but exams will be conducted very strictly.there will be monitoring two invisilators for every room during exams,Placements and jobs for our college is little less there will be coming less companies for our college. | Majority of the facilities skip the syllabus and at the last of the semester the syllabus runs as a metro rail which is unable to understand
697,Kalaignar karunanidhi Institute of Technology - [KIT],3.8,The infrastructure is nice and college so attractive to be | My college have the biggest auditorium in tamilnadu | Infrastructure is good. Teaching is better.Good faculty.,No many sports activities are there in the college | College is not applicable for poor family background
698,Patel College of Science and Technology - [PCST],3.7,Actually the campus pretty well and huge Greenery and good climatic environment | Everything is well defined and mannered. Having two big main library and canteen of capacity huge seating arrangement | I also liked the infrastructure.the college is surrounded by trees and the natural environment is also really good.,Actually the student are illiterate. Basically everyone is from Bihar Majority of students are from bihari and speaking there language | Very few teachers know how to really teach students. Rest of them are just getting freely paid
699,Career Point University - [CPU],3.9,"University design is good . The student are good here. | There is a large ground , 3 parking space and 4 caffe inside the campus.. | The campus is very good and beautiful view in career point university",Building need some repairment and colour | The university don't allow you go outside the campus before 12 O clock
700,Sri Sai University - [SSU],3.4,no pros found,no cons found
701,Sri Guru Granth Sahib World University - [SGGSWU],4.4,"I choose b.com because i didn't have another option after +2, some of the teachers were very good but some of the teachers always did partiality. | Infosys ibm hcl amazon google del monte and many more big companies are fear and visiting the college and very good amount of packages so that every students gets a good amount of package and very good job opportunity | I choose b.com because i didn't have another option after +2, some of the teachers were very good but some of the teachers always did partiality.",no cons found
702,Sir Padampat Singhania University - [SPSU],3.8,Hostels are very good they are spacious and packed with all facilities | My hostel facility is very good and with lan ports in our rooms | Hostels are very good they are spacious and packed with all facilities,There is no non veg is provided here this is disappointed | There is no non veg here and there is no good looking boys here
703,Vinayaka Missions University - [VMU],4.0,Scholarship are given to the students according to their religions of muslim and christian. | Atmosphere was good in our college due to natural surroundings | Faculties are experienced and knowledgeable.,No hygienic water facilities the monkeys are drinking the water it is disgusting | No toilet facilities for both male and female students
704,Jyothy Institute of Technology - [JIT],4.1,"The campus feels like inside a forest and is peaceful | The faculty are encouraging and supportive | The infrastructure and campus is neat and ideal for education ,ppl has good environment to study",Parking Facilities are not good Enough.
705,College of Engineering Perumon,3.9,"The campus environment is so good, soothing, calm. | Faculties are friendly, Loving and teaches well. | Good faculty and staff members with good experience",Lack of cleanliness. Bathroom classroom etc are not cleaned. | Improper waste management. Waste are scattered here and there
706,Sreyas Institute of Engineering and Technology - [SIET],4.1,"The computer and iot labs are very good with all the internet facilities. | The ground, infrastructure and the labs are very good and neat | The computer and iot labs are very good with all the internet facilities.",Canteen is small and road are bad before we enter in to college | The ground in our college is quite small but we can adjust
